PTP_TERR;CAPITAL;TAMANO_FAM;PTP_PERIO;PTP_AENC;PTP_SEXO;ESTADO_CIVIL;PTP_LUNAC1;PTP_EDAD1_;NIVEL_INSTRUC;RELA_ACT;PROFESION;PTP_DIASE1;PTP_TJORN;PTP_THORA;PTP_TIEMP;PTP_EXCEP;PARENTESCO;TIP_NUCL_FAM;ACTP1_1;ACTP1_2;ACTP1_3;ACTP1_4;ACTP1_5;ACTP1_6;ACTP1_7;ACTP1_8;ACTP2B_11;ACTP2B_12;ACTP2B_13;ACTP2B_14;ACTP2B_15;ACTP2B_16;ACTP2B_17;ACTP2B_21;ACTP2B_22;ACTP2B_23;ACTP2B_24;ACTP2B_25;ACTP2B_26;ACTP2B_31;ACTP2B_32;ACTP2B_33;ACTP2B_34;ACTP2B_35;ACTP2B_36;ACTP2B_37;ACTP2B_41;ACTP2B_42;ACTP2B_43;ACTP2B_51;ACTP2B_52;ACTP2B_53;ACTP2B_54;ACTP2B_55;ACTP2B_56;ACTP2B_57;ACTP2B_61;ACTP2B_62;ACTP2B_63;ACTP2B_64;ACTP2B_71;ACTP2B_72;ACTP2B_73;ACTP2B_74;ACTP2B_75;ACTP2B_80;ACTP2B_81;ACTP2B_82;ACTP2B_83;ACTP2B_84;ACTP2B_85;ACTP2B_86;ACTP2B_87;ACTP2B_88;ACTP2B_89;ACTP1xLUGAR1_11;ACTP1xLUGAR1_12;ACTP1xLUGAR1_13;ACTP1xLUGAR1_14;ACTP1xLUGAR1_15;ACTP1xLUGAR1_16;ACTP1xLUGAR1_17;ACTP1xLUGAR1_21;ACTP1xLUGAR1_22;ACTP1xLUGAR1_23;ACTP1xLUGAR1_24;ACTP1xLUGAR1_25;ACTP1xLUGAR1_26;ACTP1xLUGAR1_27;ACTP1xLUGAR1_31;ACTP1xLUGAR1_32;ACTP1xLUGAR1_33;ACTP1xLUGAR1_34;ACTP1xLUGAR1_35;ACTP1xLUGAR1_36;ACTP1xLUGAR1_37;ACTP1xLUGAR1_41;ACTP1xLUGAR1_42;ACTP1xLUGAR1_43;ACTP1xLUGAR1_44;ACTP1xLUGAR1_45;ACTP1xLUGAR1_46;ACTP1xLUGAR1_47;ACTP1xLUGAR1_51;ACTP1xLUGAR1_52;ACTP1xLUGAR1_53;ACTP1xLUGAR1_54;ACTP1xLUGAR1_55;ACTP1xLUGAR1_56;ACTP1xLUGAR1_57;ACTP1xLUGAR1_61;ACTP1xLUGAR1_62;ACTP1xLUGAR1_63;ACTP1xLUGAR1_64;ACTP1xLUGAR1_65;ACTP1xLUGAR1_66;ACTP1xLUGAR1_67;ACTP1xLUGAR1_71;ACTP1xLUGAR1_72;ACTP1xLUGAR1_73;ACTP1xLUGAR1_74;ACTP1xLUGAR1_75;ACTP1xLUGAR1_76;ACTP1xLUGAR1_77;ACTP1xLUGAR1_81;ACTP1xLUGAR1_82;ACTP1xLUGAR1_83;ACTP1xLUGAR1_84;ACTP1xLUGAR1_85;ACTP1xLUGAR1_86;ACTP1xLUGAR1_87;PONDERACION
01;059;2;1;2023;1;2;4;03;;1;8;6;3;1;2;4;1;3;57600;0;3600;0;6000;0;14400;4800;45000;5400;0;3600;0;3600;0;0;0;0;0;0;0;0;1800;1800;0;0;0;0;0;0;0;0;6000;0;0;0;0;0;0;0;0;0;14400;0;0;0;0;0;0;900;0;0;0;3000;900;0;0;57600;0;0;0;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;2700;0;3300;0;0;0;0;0;0;0;0;0;0;0;14400;0;0;0;0;0;0;0;0;4800;0;0;0;0;151.758
01;059;3;1;2023;6;1;1;02;1;3;0;7;0;0;2;4;3;2;50700;0;13800;0;0;12600;1800;7500;37800;3900;0;7800;1200;0;0;0;0;0;0;0;0;4800;9000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12600;0;0;0;1800;0;0;0;0;0;0;0;0;0;0;7500;0;0;0;49500;0;0;0;0;1200;0;0;0;0;0;0;0;0;13800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12600;0;0;1800;0;0;0;0;0;0;0;0;7500;0;0;0;0;136.251
01;059;3;1;2023;6;2;4;03;1;3;0;5;0;0;3;4;2;2;50700;0;13200;9900;4200;0;7200;1200;44100;1200;0;5400;0;0;0;0;0;0;0;0;0;5700;3900;3600;0;0;0;0;6000;3900;0;0;2400;1800;0;0;0;0;0;0;0;0;7200;0;0;0;0;0;0;0;1200;0;0;0;0;0;0;50700;0;0;0;0;0;0;0;0;0;0;0;0;0;13200;0;0;0;0;0;0;9000;900;0;0;0;0;0;4200;0;0;0;0;0;0;0;0;0;0;0;0;0;7200;0;0;0;0;0;0;0;0;1200;0;0;0;0;166.919
01;059;2;1;2023;6;2;4;04;2;1;2;3;1;3;2;4;2;3;45600;9600;6000;3600;0;1200;8400;12000;24600;5100;600;9000;6300;0;0;9600;0;0;0;0;0;4500;1500;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;900;0;300;8400;0;0;0;0;3900;0;0;8100;0;0;0;0;0;0;39300;0;6300;0;0;0;0;0;9600;0;0;0;0;0;6000;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;0;300;0;900;0;0;0;0;8400;0;0;0;0;0;0;0;0;12000;0;0;0;0;620.415
01;059;3;1;2023;1;2;4;03;;1;6;7;3;1;2;4;1;2;48900;0;4500;4200;3600;0;22200;3000;37800;1800;0;6600;2700;0;0;0;0;0;0;0;0;4500;0;0;0;0;0;0;4200;0;0;3600;0;0;0;0;0;0;0;0;0;0;22200;0;0;0;0;0;0;0;1800;0;0;0;1200;0;0;46200;0;0;0;0;2700;0;0;0;0;0;0;0;0;4500;0;0;0;0;0;0;0;0;4200;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;22200;0;0;0;0;0;0;0;0;3000;0;0;0;0;161.029
01;059;2;1;2023;6;2;1;04;1;3;8;6;0;0;4;4;2;3;39600;0;6600;0;0;14400;21300;4500;34200;600;0;4800;0;0;0;0;0;0;0;0;0;1200;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14400;0;0;21300;0;0;0;0;0;0;0;0;0;300;0;3600;600;0;39600;0;0;0;0;0;0;0;0;0;0;0;0;0;6600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14400;0;0;0;0;21300;0;0;0;0;0;0;0;0;4500;0;0;0;0;127.905
01;059;3;1;2023;6;2;4;02;1;2;2;2;0;0;3;4;1;2;38700;0;17100;18600;0;8100;3300;600;30600;1800;0;6300;0;0;0;0;0;0;0;0;0;5400;3900;6000;0;0;0;1800;18600;0;0;0;0;0;0;0;0;0;8100;0;0;0;3300;0;0;0;0;0;0;0;600;0;0;0;0;0;0;38700;0;0;0;0;0;0;0;0;0;0;0;0;0;15300;0;1800;0;0;0;0;16200;0;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;8100;0;0;0;0;3300;0;0;0;0;0;0;0;0;600;0;0;0;0;622.727
01;059;1;1;2023;1;4;4;03;1;1;8;4;1;3;2;4;1;1;38700;34200;900;0;0;0;7500;5100;27900;2400;0;2400;6000;0;0;34200;0;0;0;0;0;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7500;0;0;0;0;5100;0;0;0;0;0;0;0;0;0;32700;0;0;0;0;6000;0;0;0;34200;0;0;0;0;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7500;0;0;0;0;0;0;0;0;5100;0;0;0;0;630.422
01;059;3;1;2023;6;2;4;03;3;1;8;6;3;1;2;4;1;2;59400;0;9000;0;0;4500;7200;6300;37800;5700;0;7800;8100;0;0;0;0;0;0;0;0;7200;0;0;0;1800;0;0;0;0;0;0;0;0;0;0;0;0;4500;0;0;0;7200;0;0;0;0;0;0;4500;0;0;0;1800;0;0;0;50400;0;0;0;900;8100;0;0;0;0;0;0;0;0;7200;0;0;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4500;0;0;7200;0;0;0;0;0;0;0;0;6300;0;0;0;0;129.410
01;059;2;1;2023;1;2;4;04;3;3;4;6;0;0;3;4;1;3;53400;0;4500;0;6000;4500;16500;1500;40500;3900;0;7200;1800;0;0;0;0;0;0;0;0;4500;0;0;0;0;0;0;0;0;0;6000;0;0;0;0;0;0;0;4500;0;0;16500;0;0;0;0;0;0;0;0;0;0;1200;300;0;0;51600;0;1800;0;0;0;0;0;0;0;0;0;0;0;4500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6000;0;0;0;0;0;0;4500;0;0;0;0;16500;0;0;0;0;0;0;0;0;1500;0;0;0;0;159.999
